IP,bytes
147.97.8.*,17563
148.129.52.*,8802
148.149.107.*,148459
148.149.108.*,15699
148.224.17.*,517280
149.123.103.*,15820
149.136.2.*,11577
149.159.22.*,67951
149.168.105.*,6255
149.168.25.*,136269
149.168.50.*,64249
149.168.51.*,531611
149.25.57.*,93917
149.250.222.*,4254
149.252.214.*,334712
149.4.13.*,0
149.79.176.*,32173
149.8.43.*,2336
150.148.177.*,14506
150.148.56.*,44356
150.192.45.*,5226
150.200.42.*,147822
150.216.15.*,259921
150.216.67.*,7512
152.120.119.*,11746
152.120.123.*,21759
152.123.183.*,23494
152.123.194.*,16636
152.160.78.*,17331
152.165.111.*,7758
152.35.128.*,14709
153.64.63.*,57523
153.90.241.*,38313
155.187.32.*,7574
155.206.19.*,15340
155.206.3.*,9785
155.33.62.*,42755
155.75.105.*,13336
155.75.107.*,19910
155.75.31.*,28468
155.76.34.*,8718
155.77.120.*,31990
155.78.168.*,11747
155.79.153.*,68101
155.81.101.*,11808
155.82.161.*,82766
155.82.20.*,39162
155.84.91.*,542290
155.84.92.*,3353172
155.95.69.*,4914
156.3.41.*,70215
156.41.19.*,798931
156.42.76.*,27049
156.63.155.*,14465
156.63.173.*,11746
156.63.241.*,139826
156.63.59.*,422796
156.63.91.*,322674
156.63.99.*,204090
156.80.164.*,85282
156.80.94.*,14450
156.98.168.*,20464
156.98.203.*,12195
156.98.204.*,15020
156.98.205.*,1997426
156.99.78.*,11746
157.142.200.*,31060
157.145.93.*,45500
157.182.94.*,23999
157.190.64.*,141854
157.22.192.*,7513
157.92.49.*,75908
158.111.64.*,11747
158.111.96.*,116881
158.111.97.*,18257
158.145.111.*,17550
158.185.86.*,50414
158.229.201.*,157168
158.72.25.*,15020
159.105.44.*,33203
159.142.162.*,3517
159.230.8.*,3508
159.238.20.*,104754
159.238.227.*,25393
160.136.18.*,59406
160.69.35.*,393035
160.80.14.*,340602
161.119.52.*,14963
161.119.73.*,11747
161.122.12.*,3008684
161.129.48.*,3050
161.156.150.*,11746
161.225.48.*,2624
162.108.35.*,6874
162.15.100.*,16040
162.43.14.*,15680
162.43.21.*,81723
162.80.100.*,84489
162.80.60.*,16087
163.13.143.*,11577
163.178.128.*,9185
163.191.129.*,11515
163.191.186.*,165420
163.191.188.*,15917
163.191.195.*,7512
163.206.111.*,53638
163.234.112.*,275863
163.234.116.*,179570
163.234.128.*,19220
163.234.140.*,81936
163.234.156.*,31525
163.234.188.*,12588
163.234.204.*,108987
163.234.224.*,604773
163.234.34.*,53603
163.234.52.*,2873
163.234.60.*,9807
164.155.1.*,271513
164.156.42.*,14450
164.158.3.*,35178
164.159.192.*,43100
164.159.7.*,307570
164.167.106.*,137252
164.64.142.*,235403
165.1.8.*,74884
165.110.45.*,80583
165.113.166.*,26475
165.13.6.*,9384
165.151.26.*,4950
165.151.47.*,284453
165.151.51.*,3532
165.152.208.*,27129
165.152.88.*,2624
165.213.131.*,23813
165.234.109.*,23944
165.235.39.*,11746
167.193.49.*,80092
167.193.53.*,117812
167.21.131.*,32036
168.154.26.*,11747
168.29.232.*,18900
168.95.125.*,156621
169.14.20.*,61262
170.142.111.*,207919
170.55.130.*,4889
192.102.13.*,9279
192.107.65.*,11747
192.122.180.*,68165
192.137.112.*,142748
192.137.113.*,36430
192.146.118.*,147980
192.147.170.*,15209
192.154.33.*,11747
192.195.68.*,38602
192.217.118.*,18323
192.217.93.*,71519
192.228.164.*,7758
192.231.202.*,56431
192.231.222.*,14963
192.234.8.*,59544
192.239.66.*,39857
192.239.68.*,11747
192.246.181.*,4889
192.246.249.*,15019
192.246.73.*,80786
192.246.82.*,22215
192.249.10.*,102607
192.43.248.*,11746
192.48.125.*,310715
192.55.134.*,14507
192.58.194.*,9060
192.58.204.*,5897
192.58.206.*,115587
192.72.60.*,7513
192.74.216.*,15081
192.88.13.*,166495
193.144.48.*,9502
193.145.151.*,88485
193.56.6.*,10301
193.63.73.*,3421
193.78.67.*,6085
194.151.3.*,19396
194.158.224.*,11746
194.166.2.*,18280
194.20.235.*,211300
194.90.3.*,4888
198.102.1.*,78317
198.102.67.*,3182052
198.104.228.*,173062
198.105.194.*,47538
198.106.169.*,788749
198.108.132.*,5250
198.109.136.*,386134
198.109.184.*,14450
198.109.24.*,36851
198.110.207.*,35749
198.111.36.*,4888
198.137.145.*,290483
198.165.30.*,232428
198.185.178.*,11747
198.215.148.*,32272
198.216.2.*,23877
198.234.90.*,33221
198.31.73.*,78256
198.5.6.*,14507
198.59.172.*,25431
198.59.241.*,5882
198.59.96.*,23554
198.69.241.*,34462
198.76.115.*,11746
198.77.113.*,92897
198.80.60.*,24063
198.83.164.*,7030
198.85.72.*,169843
198.86.33.*,14392
198.88.26.*,220449
199.1.106.*,60892
199.11.48.*,38378
199.11.62.*,32331
199.111.26.*,16635
199.126.17.*,190561
199.16.15.*,0
199.170.121.*,9234
199.170.79.*,15275
199.190.112.*,4889
199.190.82.*,28946
199.199.170.*,841
199.213.177.*,35156
199.217.3.*,94474
199.222.161.*,0
199.222.162.*,47666
199.223.31.*,1724
199.249.179.*,3852
199.4.102.*,5250
199.73.129.*,75178
199.73.153.*,11747
199.77.34.*,253685
199.77.66.*,112011
199.8.210.*,221831
199.89.158.*,3508
199.89.39.*,16085
200.10.224.*,19645
200.12.140.*,0
200.246.227.*,432768
200.246.240.*,14850
202.244.226.*,13205
202.32.50.*,159922
202.39.249.*,378246
202.46.240.*,20658
202.96.29.*,10296
203.1.203.*,73853
203.2.83.*,10788
203.249.9.*,88045
203.251.228.*,3785626
204.120.34.*,32988
204.130.16.*,758336
204.157.204.*,11747
204.157.71.*,95214
204.165.200.*,41943
204.171.110.*,100725
204.176.47.*,26174
204.177.210.*,104910
204.178.177.*,237817
204.185.47.*,7004
204.185.50.*,131631
204.188.47.*,162121
204.194.170.*,42100
204.194.175.*,19645
204.233.135.*,45905
204.238.43.*,8361
204.240.48.*,25938
204.242.57.*,325549
204.248.203.*,204373
204.249.225.*,5248
204.250.21.*,2624
204.250.9.*,106596
204.252.77.*,16762
204.254.252.*,52225
204.255.215.*,45994
204.255.92.*,118463
204.27.135.*,8486
204.32.176.*,4888
204.4.34.*,30842
204.5.81.*,24376
204.62.245.*,240139
204.62.25.*,29844
204.7.162.*,1463223
204.73.0.*,38895
204.91.136.*,306466
204.97.2.*,2469
204.97.68.*,123110
205.133.189.*,60244
205.133.212.*,41326
205.138.140.*,11747
205.168.13.*,2258
205.197.136.*,4889
205.208.30.*,118278
205.216.162.*,4888
205.216.194.*,0
205.217.0.*,4950
205.218.98.*,88805
205.241.144.*,2624
206.26.139.*,114429
206.27.204.*,116718
206.43.171.*,154615
38.12.1.*,202827
