IP,bytes
146.138.145.184,1118189
146.138.145.203,198581
146.138.145.206,1098374
146.138.34.168,1079474
146.138.35.184,11808
146.138.35.190,12631
146.142.48.156,81406
146.167.189.54,11747
146.184.114.114,63071
146.184.114.116,136544
146.229.1.49,2624
146.63.206.253,5532
146.64.37.96,55178
146.83.128.83,1802
147.154.93.104,12348
147.154.93.125,9777
147.160.9.21,353226
147.160.9.24,136649
147.46.42.11,19645
147.46.54.149,44592
147.46.54.150,56169
147.97.8.19,17563
148.129.52.165,8802
148.149.107.11,9134
148.149.107.147,139325
148.149.108.49,15699
148.224.17.200,367193
148.224.17.21,137500
148.224.17.22,12587
149.123.103.99,15820
149.136.2.181,11577
149.159.22.10,67951
149.168.105.12,6255
149.168.25.115,108012
149.168.25.195,28257
149.168.50.194,64249
149.168.51.35,531611
149.25.57.7,93917
149.250.222.1,4254
149.252.214.79,334712
149.4.13.48,0
149.79.176.84,32173
149.8.43.17,2336
150.148.177.238,14506
150.148.56.13,44356
150.192.45.67,5226
150.200.42.20,147822
150.216.15.141,7188
150.216.15.85,252733
150.216.67.4,7512
152.120.119.72,11746
152.120.123.165,21759
152.123.183.210,11747
152.123.183.212,11747
152.123.194.6,16636
152.160.78.1,17331
152.165.111.120,7758
152.35.128.13,14709
153.64.63.35,57523
153.90.241.102,38313
155.187.32.163,7574
155.206.19.108,15340
155.206.3.82,9785
155.33.62.76,42755
155.75.105.213,13336
155.75.107.234,19910
155.75.31.8,28468
155.76.34.55,8718
155.77.120.18,11515
155.77.120.28,20475
155.78.168.23,11747
155.79.153.164,68101
155.81.101.76,11808
155.82.161.245,82766
155.82.20.107,39162
155.84.91.39,67686
155.84.91.40,275464
155.84.91.41,93785
155.84.91.42,105355
155.84.92.3,3353172
155.95.69.37,4914
156.3.41.81,70215
156.41.19.11,798931
156.42.76.162,27049
156.63.155.156,14465
156.63.173.125,11746
156.63.241.112,46335
156.63.241.113,93491
156.63.59.132,339453
156.63.59.137,24558
156.63.59.148,15020
156.63.59.149,28746
156.63.59.190,15019
156.63.91.107,216768
156.63.91.92,105906
156.63.99.189,204090
156.80.164.71,85282
156.80.94.51,14450
156.98.168.200,20464
156.98.203.5,12195
156.98.204.48,15020
156.98.205.127,3577
156.98.205.38,55815
156.98.205.46,1938034
156.99.78.138,11746
157.142.200.132,31060
157.145.93.27,45500
157.182.94.210,23999
157.190.64.20,141854
157.22.192.30,7513
157.92.49.53,75908
158.111.64.150,11747
158.111.96.101,116881
158.111.97.43,18257
158.145.111.130,17550
158.185.86.130,50414
158.229.201.74,157168
158.72.25.7,15020
159.105.44.21,33203
159.142.162.78,3517
159.230.8.130,3508
159.238.20.194,104754
159.238.227.132,25393
160.136.18.53,59406
160.69.35.16,393035
160.80.14.61,340602
161.119.52.62,14963
161.119.73.37,11747
161.122.12.78,3008684
161.129.48.162,3050
161.156.150.116,11746
161.225.48.3,2624
162.108.35.147,6874
162.15.100.123,16040
162.43.14.12,15680
162.43.21.12,81723
162.80.100.210,84489
162.80.60.48,16087
163.13.143.35,11577
163.178.128.205,9185
163.191.129.33,11515
163.191.186.9,165420
163.191.188.77,15917
163.191.195.25,7512
163.206.111.16,53638
163.234.112.156,74329
163.234.112.177,201534
163.234.116.45,179570
163.234.128.29,9569
163.234.128.41,9651
163.234.140.24,81936
163.234.156.52,31525
163.234.188.21,12588
163.234.204.22,108987
163.234.224.24,604773
163.234.34.150,53603
163.234.52.80,2873
163.234.60.163,9807
164.155.1.101,4044
164.155.1.107,267469
164.156.42.105,14450
164.158.3.218,35178
164.159.192.31,43100
164.159.7.12,307570
164.167.106.160,122103
164.167.106.164,15149
164.64.142.46,235403
165.1.8.140,74884
165.110.45.53,80583
165.113.166.116,26475
165.13.6.109,9384
165.151.26.205,4950
165.151.47.249,284453
165.151.51.235,3532
165.152.208.237,27129
165.152.88.75,2624
165.213.131.21,23813
165.234.109.10,23944
165.235.39.150,11746
167.193.49.75,80092
167.193.53.8,117812
167.21.131.14,32036
168.154.26.10,11747
168.29.232.156,18900
168.95.125.161,156621
169.14.20.136,61262
170.142.111.131,207919
170.55.130.21,4889
192.102.13.2,9279
192.107.65.93,11747
192.122.180.23,68165
192.137.112.52,142748
192.137.113.155,36430
192.146.118.133,147980
192.147.170.226,15209
192.154.33.201,11747
192.195.68.20,38602
192.217.118.24,18323
192.217.93.159,71519
192.228.164.77,7758
192.231.202.61,56431
192.231.222.131,14963
192.234.8.167,59544
192.239.66.91,39857
192.239.68.110,11747
192.246.181.70,4889
192.246.249.29,15019
192.246.73.101,80786
192.246.82.178,22215
192.249.10.16,102607
192.43.248.62,11746
192.48.125.149,310715
192.55.134.51,11747
192.55.134.53,2760
192.58.194.76,9060
192.58.204.203,5897
192.58.206.21,115587
192.72.60.108,7513
192.74.216.248,15081
192.88.13.159,166495
193.144.48.169,9502
193.145.151.115,88485
193.56.6.203,10301
193.63.73.69,3421
193.78.67.34,6085
194.151.3.11,19396
194.158.224.98,11746
194.166.2.73,18280
194.20.235.12,211300
194.90.3.202,4888
198.102.1.121,78317
198.102.67.27,3182052
198.104.228.83,173062
198.105.194.117,47538
198.106.169.52,788749
198.108.132.40,5250
198.109.136.238,386134
198.109.184.42,14450
198.109.24.111,36851
198.110.207.198,35749
198.111.36.11,4888
198.137.145.112,290483
198.165.30.147,232428
198.185.178.62,11747
198.215.148.176,11808
198.215.148.51,20464
198.216.2.221,23877
198.234.90.132,33221
198.31.73.63,78256
198.5.6.113,14507
198.59.172.45,25431
198.59.241.220,5882
198.59.96.236,11808
198.59.96.237,11746
198.69.241.75,34462
198.76.115.66,11746
198.77.113.40,92897
198.80.60.13,24063
198.83.164.2,7030
198.85.72.63,158097
198.85.72.83,11746
198.86.33.115,14392
198.88.26.109,220449
199.1.106.1,60892
199.11.48.9,38378
199.11.62.136,32331
199.111.26.62,16635
199.126.17.71,190561
199.16.15.166,0
199.170.121.20,9234
199.170.79.49,15275
199.190.112.11,4889
199.190.82.200,28946
199.199.170.19,841
199.213.177.192,35156
199.217.3.169,94474
199.222.161.40,0
199.222.162.25,47666
199.223.31.140,1724
199.249.179.23,3852
199.4.102.43,5250
199.73.129.57,75178
199.73.153.153,11747
199.77.34.51,253685
199.77.66.14,112011
199.8.210.73,221831
199.89.158.67,3508
199.89.39.67,16085
200.10.224.30,19645
200.12.140.108,0
200.246.227.108,368777
200.246.227.73,63991
200.246.240.62,14850
202.244.226.77,13205
202.32.50.6,159922
202.39.249.142,378246
202.46.240.10,20658
202.96.29.111,10296
203.1.203.100,18574
203.1.203.104,5686
203.1.203.111,5686
203.1.203.120,40190
203.1.203.222,3717
203.2.83.95,10788
203.249.9.64,88045
203.251.228.110,3785626
204.120.34.204,32988
204.130.16.23,758336
204.157.204.201,11747
204.157.71.59,95214
204.165.200.88,41943
204.171.110.3,100725
204.176.47.153,26174
204.177.210.133,104910
204.178.177.96,237817
204.185.47.2,7004
204.185.50.21,131631
204.188.47.212,162121
204.194.170.100,42100
204.194.175.23,19645
204.233.135.1,45905
204.238.43.73,8361
204.240.48.15,25938
204.242.57.164,325549
204.248.203.107,204373
204.249.225.65,5248
204.250.21.9,2624
204.250.9.58,106596
204.252.77.45,11762
204.252.77.88,5000
204.254.252.116,52225
204.255.215.49,45994
204.255.92.30,118463
204.27.135.130,8486
204.32.176.150,4888
204.4.34.49,30842
204.5.81.30,24376
204.62.245.32,240139
204.62.25.132,29844
204.7.162.158,1463223
204.73.0.100,38895
204.91.136.26,206292
204.91.136.27,100174
204.97.2.199,2469
204.97.68.29,123110
205.133.189.64,60244
205.133.212.1,41326
205.138.140.2,11747
205.168.13.11,2258
205.197.136.141,4889
205.208.30.114,118278
205.216.162.12,4888
205.216.194.186,0
205.217.0.115,4950
205.218.98.32,88805
205.241.144.11,2624
206.26.139.13,109309
206.26.139.15,5120
206.27.204.6,116718
206.43.171.247,70590
206.43.171.250,84025
38.12.1.131,155335
38.12.1.154,47492
38.12.1.53,0
